"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Age Groups"	"Age Groups Code"	"Year"	"Year Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2010"	"2010"	45
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2011"	"2011"	53
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2012"	"2012"	65
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2013"	"2013"	57
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2014"	"2014"	39
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2015"	"2015"	50
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2016"	"2016"	57
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2017"	"2017"	51
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2018"	"2018"	53
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2019"	"2019"	41
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2020"	"2020"	42
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2021"	"2021"	53
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"1999"	"1999"	53
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2000"	"2000"	50
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2001"	"2001"	53
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2002"	"2002"	43
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2003"	"2003"	46
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2004"	"2004"	61
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2005"	"2005"	37
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2006"	"2006"	49
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2007"	"2007"	51
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2008"	"2008"	42
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2009"	"2009"	51
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2010"	"2010"	49
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2011"	"2011"	39
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2012"	"2012"	59
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2013"	"2013"	45
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2014"	"2014"	71
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2015"	"2015"	77
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2016"	"2016"	51
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2017"	"2017"	54
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2018"	"2018"	46
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2019"	"2019"	66
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2020"	"2020"	56
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2021"	"2021"	46
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"1999"	"1999"	83
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2000"	"2000"	83
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2001"	"2001"	95
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2002"	"2002"	79
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2003"	"2003"	87
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2004"	"2004"	104
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2005"	"2005"	82
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2006"	"2006"	90
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2007"	"2007"	81
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2008"	"2008"	87
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2009"	"2009"	109
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2010"	"2010"	82
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2011"	"2011"	77
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2012"	"2012"	86
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2013"	"2013"	81
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2014"	"2014"	84
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2015"	"2015"	87
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2016"	"2016"	89
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2017"	"2017"	87
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2018"	"2018"	92
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2019"	"2019"	96
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2020"	"2020"	88
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2021"	"2021"	86
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"1999"	"1999"	125
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2000"	"2000"	116
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2001"	"2001"	111
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2002"	"2002"	135
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2003"	"2003"	125
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2004"	"2004"	140
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2005"	"2005"	128
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2006"	"2006"	154
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2007"	"2007"	158
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2008"	"2008"	148
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2009"	"2009"	166
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2010"	"2010"	150
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2011"	"2011"	141
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2012"	"2012"	146
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2013"	"2013"	154
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2014"	"2014"	133
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2015"	"2015"	182
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2016"	"2016"	142
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2017"	"2017"	157
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2018"	"2018"	165
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2019"	"2019"	146
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2020"	"2020"	146
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2021"	"2021"	149
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"1999"	"1999"	194
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2000"	"2000"	222
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2001"	"2001"	188
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2002"	"2002"	198
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2003"	"2003"	181
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2004"	"2004"	208
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2005"	"2005"	217
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2006"	"2006"	215
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2007"	"2007"	231
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2008"	"2008"	224
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2009"	"2009"	248
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2010"	"2010"	205
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2011"	"2011"	240
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2012"	"2012"	266
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2013"	"2013"	244
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2014"	"2014"	270
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2015"	"2015"	253
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2016"	"2016"	264
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2017"	"2017"	279
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2018"	"2018"	253
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2019"	"2019"	238
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2020"	"2020"	253
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2021"	"2021"	230
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"1999"	"1999"	323
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2000"	"2000"	360
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2001"	"2001"	309
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2002"	"2002"	303
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2003"	"2003"	297
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2004"	"2004"	299
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2005"	"2005"	301
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2006"	"2006"	279
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2007"	"2007"	331
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2008"	"2008"	294
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2009"	"2009"	338
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2010"	"2010"	326
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2011"	"2011"	371
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2012"	"2012"	371
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2013"	"2013"	410
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2014"	"2014"	388
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2015"	"2015"	403
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2016"	"2016"	388
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2017"	"2017"	457
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2018"	"2018"	470
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2019"	"2019"	430
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2020"	"2020"	410
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2021"	"2021"	421
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"1999"	"1999"	485
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2000"	"2000"	519
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2001"	"2001"	525
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2002"	"2002"	499
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2003"	"2003"	499
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2004"	"2004"	432
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2005"	"2005"	453
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2006"	"2006"	491
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2007"	"2007"	525
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2008"	"2008"	507
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2009"	"2009"	501
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2010"	"2010"	498
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2011"	"2011"	472
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2012"	"2012"	436
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2013"	"2013"	504
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2014"	"2014"	499
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2015"	"2015"	554
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2016"	"2016"	566
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2017"	"2017"	615
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2018"	"2018"	645
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2019"	"2019"	617
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2020"	"2020"	608
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2021"	"2021"	648
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"1999"	"1999"	765
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2000"	"2000"	834
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2001"	"2001"	852
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2002"	"2002"	857
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2003"	"2003"	861
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2004"	"2004"	890
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2005"	"2005"	860
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2006"	"2006"	884
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2007"	"2007"	852
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2008"	"2008"	817
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2009"	"2009"	843
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2010"	"2010"	830
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2011"	"2011"	868
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2012"	"2012"	781
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2013"	"2013"	747
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2014"	"2014"	781
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2015"	"2015"	787
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2016"	"2016"	767
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2017"	"2017"	793
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2018"	"2018"	840
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2019"	"2019"	868
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2020"	"2020"	867
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"40-44 years"	"40-44"	"2021"	"2021"	937
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"45-49 years"	"45-49"	"1999"	"1999"	1141
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"45-49 years"	"45-49"	"2000"	"2000"	1180
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"45-49 years"	"45-49"	"2001"	"2001"	1279
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"45-49 years"	"45-49"	"2002"	"2002"	1266
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"45-49 years"	"45-49"	"2003"	"2003"	1307
